[2026-02-20T07:54:04.192+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-20T07:54:04.207+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-20T07:46:00+00:00 [queued]>
[2026-02-20T07:54:04.211+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-20T07:46:00+00:00 [queued]>
[2026-02-20T07:54:04.211+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-20T07:54:04.218+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2026-02-20 07:46:00+00:00
[2026-02-20T07:54:04.225+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=93385) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-20T07:54:04.224+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2026-02-20T07:46:00+00:00', '--job-id', '409', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp61hkq1bs']
[2026-02-20T07:54:04.226+0000] {standard_task_runner.py:91} INFO - Job 409: Subtask load_snowflake
[2026-02-20T07:54:04.226+0000] {standard_task_runner.py:64} INFO - Started process 93397 to run task
[2026-02-20T07:54:04.256+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2026-02-20T07:46:00+00:00 [running]> on host 0c2666b81705
[2026-02-20T07:54:04.305+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2026-02-20T07:46:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-20T07:46:00+00:00'
[2026-02-20T07:54:04.306+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-20T07:54:04.321+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.12.67-linuxkit-aarch64-with-glibc2.36
[2026-02-20T07:54:04.322+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2026-02-20T07:54:05.590+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533416.json to Snowflake stage
[2026-02-20T07:54:06.216+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533424.json to Snowflake stage
[2026-02-20T07:54:06.448+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533432.json to Snowflake stage
[2026-02-20T07:54:06.777+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533440.json to Snowflake stage
[2026-02-20T07:54:07.035+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533447.json to Snowflake stage
[2026-02-20T07:54:07.312+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533455.json to Snowflake stage
[2026-02-20T07:54:07.610+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533463.json to Snowflake stage
[2026-02-20T07:54:07.836+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533471.json to Snowflake stage
[2026-02-20T07:54:08.090+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533479.json to Snowflake stage
[2026-02-20T07:54:08.331+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533487.json to Snowflake stage
[2026-02-20T07:54:08.562+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533495.json to Snowflake stage
[2026-02-20T07:54:08.814+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533503.json to Snowflake stage
[2026-02-20T07:54:09.048+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533511.json to Snowflake stage
[2026-02-20T07:54:09.283+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533519.json to Snowflake stage
[2026-02-20T07:54:09.542+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533527.json to Snowflake stage
[2026-02-20T07:54:09.815+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533535.json to Snowflake stage
[2026-02-20T07:54:10.039+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533543.json to Snowflake stage
[2026-02-20T07:54:10.277+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533551.json to Snowflake stage
[2026-02-20T07:54:10.530+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533559.json to Snowflake stage
[2026-02-20T07:54:10.784+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533567.json to Snowflake stage
[2026-02-20T07:54:11.017+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533574.json to Snowflake stage
[2026-02-20T07:54:11.245+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533582.json to Snowflake stage
[2026-02-20T07:54:11.493+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533590.json to Snowflake stage
[2026-02-20T07:54:11.696+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533598.json to Snowflake stage
[2026-02-20T07:54:11.935+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533606.json to Snowflake stage
[2026-02-20T07:54:12.819+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533615.json to Snowflake stage
[2026-02-20T07:54:14.969+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533623.json to Snowflake stage
[2026-02-20T07:54:15.585+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533631.json to Snowflake stage
[2026-02-20T07:54:16.300+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533639.json to Snowflake stage
[2026-02-20T07:54:16.915+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533647.json to Snowflake stage
[2026-02-20T07:54:18.143+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533655.json to Snowflake stage
[2026-02-20T07:54:21.935+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533663.json to Snowflake stage
[2026-02-20T07:54:22.525+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533671.json to Snowflake stage
[2026-02-20T07:54:22.757+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533679.json to Snowflake stage
[2026-02-20T07:54:23.012+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533687.json to Snowflake stage
[2026-02-20T07:54:23.258+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533695.json to Snowflake stage
[2026-02-20T07:54:23.518+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533703.json to Snowflake stage
[2026-02-20T07:54:24.886+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533711.json to Snowflake stage
[2026-02-20T07:54:25.114+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533719.json to Snowflake stage
[2026-02-20T07:54:25.362+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533727.json to Snowflake stage
[2026-02-20T07:54:25.629+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533734.json to Snowflake stage
[2026-02-20T07:54:28.931+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533743.json to Snowflake stage
[2026-02-20T07:54:29.181+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533751.json to Snowflake stage
[2026-02-20T07:54:29.434+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533760.json to Snowflake stage
[2026-02-20T07:54:29.679+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533768.json to Snowflake stage
[2026-02-20T07:54:29.931+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533777.json to Snowflake stage
[2026-02-20T07:54:30.178+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533785.json to Snowflake stage
[2026-02-20T07:54:30.443+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533793.json to Snowflake stage
[2026-02-20T07:54:30.711+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533801.json to Snowflake stage
[2026-02-20T07:54:30.929+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533809.json to Snowflake stage
[2026-02-20T07:54:31.366+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533817.json to Snowflake stage
[2026-02-20T07:54:31.666+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533825.json to Snowflake stage
[2026-02-20T07:54:31.910+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533833.json to Snowflake stage
[2026-02-20T07:54:32.191+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533841.json to Snowflake stage
[2026-02-20T07:54:32.460+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533849.json to Snowflake stage
[2026-02-20T07:54:35.982+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533857.json to Snowflake stage
[2026-02-20T07:54:36.279+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533865.json to Snowflake stage
[2026-02-20T07:54:36.524+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533873.json to Snowflake stage
[2026-02-20T07:54:36.780+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533881.json to Snowflake stage
[2026-02-20T07:54:37.019+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533889.json to Snowflake stage
[2026-02-20T07:54:37.296+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533897.json to Snowflake stage
[2026-02-20T07:54:37.541+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533904.json to Snowflake stage
[2026-02-20T07:54:37.795+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533912.json to Snowflake stage
[2026-02-20T07:54:40.825+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533920.json to Snowflake stage
[2026-02-20T07:54:41.091+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533930.json to Snowflake stage
[2026-02-20T07:54:41.376+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533938.json to Snowflake stage
[2026-02-20T07:54:41.617+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533946.json to Snowflake stage
[2026-02-20T07:54:41.933+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533953.json to Snowflake stage
[2026-02-20T07:54:42.218+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533961.json to Snowflake stage
[2026-02-20T07:54:42.463+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533969.json to Snowflake stage
[2026-02-20T07:54:42.707+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533977.json to Snowflake stage
[2026-02-20T07:54:42.948+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533985.json to Snowflake stage
[2026-02-20T07:54:43.184+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771533993.json to Snowflake stage
[2026-02-20T07:54:43.445+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534001.json to Snowflake stage
[2026-02-20T07:54:43.695+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534009.json to Snowflake stage
[2026-02-20T07:54:44.003+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534016.json to Snowflake stage
[2026-02-20T07:54:44.243+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534024.json to Snowflake stage
[2026-02-20T07:54:44.515+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534032.json to Snowflake stage
[2026-02-20T07:54:44.766+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534040.json to Snowflake stage
[2026-02-20T07:54:45.016+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534048.json to Snowflake stage
[2026-02-20T07:54:45.255+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1771534056.json to Snowflake stage
